Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Onconetix,ONCO,Sell,Filled,96,96,1.3950000000,1.3950000000,DAY,04/09/2026 14:03:23 EDT,04/09/2026 14:03:23 EDT
Onconetix,ONCO,Buy,Filled,96,96,1.6599000000,1.6599000000,DAY,04/09/2026 13:52:31 EDT,04/09/2026 13:52:31 EDT
RenX Enterprises Corp,RENX,Sell,Filled,130,130,2.6566000000,2.6566000000,DAY,04/09/2026 11:09:09 EDT,04/09/2026 11:09:09 EDT
RenX Enterprises Corp,RENX,Sell,Cancelled,0,130,@2.71,,GTC,04/09/2026 11:08:40 EDT,
Yimutian Inc,YMT,Sell,Filled,781,781,0.3455000000,0.3455000000,DAY,04/09/2026 09:53:41 EDT,04/09/2026 09:53:42 EDT
Yimutian Inc,YMT,Sell,Filled,781,781,@0.3384000000,0.3384000000,DAY,04/09/2026 09:51:58 EDT,04/09/2026 09:53:26 EDT
Yimutian Inc,YMT,Buy,Filled,1562,1562,@0.3158000000,0.3158000000,GTC,04/09/2026 09:44:30 EDT,04/09/2026 09:44:30 EDT
Yimutian Inc,YMT,Buy,Cancelled,0,1639,@0.305,,GTC,04/09/2026 09:43:49 EDT,
RenX Enterprises Corp,RENX,Sell,Cancelled,0,130,@2.71,,GTC,04/08/2026 20:04:57 EDT,
MEGAN HLDGS LTD,MGN,Sell,Filled,1722,1722,0.2251000000,0.2251000000,DAY,04/08/2026 10:05:04 EDT,04/08/2026 10:05:04 EDT
Cycurion Inc.,CYCU,Sell,Filled,198,198,@1.4400000000,1.4400000000,GTC,04/08/2026 09:44:38 EDT,04/08/2026 09:44:42 EDT
Cycurion Inc.,CYCU,Buy,Filled,9,9,@1.6500000000,1.6500000000,DAY,04/08/2026 08:41:44 EDT,04/08/2026 08:41:44 EDT
Cycurion Inc.,CYCU,Buy,Cancelled,0,9,@Market,,DAY,04/08/2026 08:41:35 EDT,
Cycurion Inc.,CYCU,Buy,Filled,27,27,@1.7900000000,1.7900000000,DAY,04/08/2026 08:39:13 EDT,04/08/2026 08:39:13 EDT
Cycurion Inc.,CYCU,Buy,Cancelled,0,28,@Market,,DAY,04/08/2026 08:38:49 EDT,
Cycurion Inc.,CYCU,Buy,Filled,162,162,@1.7699000000,1.7699000000,DAY,04/08/2026 08:33:02 EDT,04/08/2026 08:33:02 EDT
Cycurion Inc.,CYCU,Buy,Cancelled,0,166,@Market,,DAY,04/08/2026 08:32:40 EDT,
Cycurion Inc.,CYCU,Buy,Cancelled,0,172,@Market,,DAY,04/08/2026 08:32:16 EDT,
MEGAN HLDGS LTD,MGN,Sell,Cancelled,0,1722,@Market,,DAY,04/08/2026 06:04:45 EDT,
MEGAN HLDGS LTD,MGN,Buy,Filled,1722,1722,@0.2902000000,0.2902000000,GTC,04/08/2026 04:24:06 EDT,04/08/2026 04:24:13 EDT
RenX Enterprises Corp,RENX,Sell,Filled,129,129,2.8433147287,2.8433147287,DAY,04/07/2026 13:07:20 EDT,04/07/2026 13:07:20 EDT
IP Strategy Holdings Inc,IPST,Sell,Filled,629,629,0.3118000000,0.3118000000,DAY,04/07/2026 10:53:10 EDT,04/07/2026 10:53:10 EDT
IP Strategy Holdings Inc,IPST,Sell,Cancelled,0,629,@0.3309,,GTC,04/07/2026 10:52:53 EDT,
IP Strategy Holdings Inc,IPST,Sell,Filled,629,629,@0.4405000000,0.4405000000,GTC,04/07/2026 10:36:22 EDT,04/07/2026 10:37:58 EDT
IP Strategy Holdings Inc,IPST,Buy,Filled,495,495,@0.4006000000,0.4006000000,GTC,04/07/2026 10:33:46 EDT,04/07/2026 10:33:46 EDT
IP Strategy Holdings Inc,IPST,Buy,Filled,763,763,0.3936000000,0.3936000000,DAY,04/07/2026 10:32:51 EDT,04/07/2026 10:32:51 EDT
RenX Enterprises Corp,RENX,Sell,Cancelled,0,259,2.22,,GTC,04/07/2026 09:41:25 EDT,
Profusa Inc,PFSA,Sell,Filled,327,327,@1.5600000000,1.5600000000,DAY,04/06/2026 19:52:43 EDT,04/06/2026 19:53:14 EDT
RenX Enterprises Corp,RENX,Buy,Filled,40,40,@2.4700000000,2.4700000000,DAY,04/06/2026 13:50:48 EDT,04/06/2026 13:53:51 EDT
Profusa Inc,PFSA,Buy,Filled,54,54,@1.8400000000,1.8400000000,DAY,04/06/2026 12:42:22 EDT,04/06/2026 13:26:37 EDT
Profusa Inc,PFSA,Buy,Cancelled,0,54,@1.84,,DAY,04/06/2026 12:42:02 EDT,
RenX Enterprises Corp,RENX,Buy,Filled,16,16,2.5000000000,2.5000000000,DAY,04/06/2026 12:38:47 EDT,04/06/2026 12:38:47 EDT
Profusa Inc,PFSA,Buy,Cancelled,0,54,@1.84,,DAY,04/06/2026 12:36:15 EDT,
Profusa Inc,PFSA,Buy,Filled,111,111,@1.7900000000,1.7900000000,DAY,04/06/2026 11:54:55 EDT,04/06/2026 11:59:08 EDT
RenX Enterprises Corp,RENX,Buy,Filled,81,81,@2.4900000000,2.4900000000,DAY,04/06/2026 11:41:36 EDT,04/06/2026 12:19:53 EDT
Profusa Inc,PFSA,Buy,Cancelled,0,56,@1.79,,DAY,04/06/2026 11:35:38 EDT,
Profusa Inc,PFSA,Buy,Filled,162,162,1.8499000000,1.8499000000,DAY,04/06/2026 10:54:55 EDT,04/06/2026 10:54:55 EDT
RenX Enterprises Corp,RENX,Buy,Filled,122,122,2.4500000000,2.4500000000,DAY,04/06/2026 09:49:01 EDT,04/06/2026 09:49:01 EDT
