timestamp,ticker,date,structure,prob_pct,ib_high,ib_low,poc_price
2026-03-30 23:54:28,EEIQ,2026-03-30,Trend,94.5,11.02,9.12,9.3379
2026-03-30 23:55:27,APRE,2026-03-30,Trend,80.7,0.689,0.6636,0.6695
2026-03-30 23:56:44,TBI,2026-03-30,Trend,97.9,3.29,3.2,3.5795
2026-03-30 23:57:00,SWMR,2026-03-30,Trend,96.9,37.73,34.455,37.4684
2026-03-30 23:57:46,IDN,2026-03-30,Trend,97.2,5.53,5.05,6.4142
2026-03-30 23:58:10,GVH,2026-03-30,Trend,76.2,1.45,1.32,1.4402
2026-03-30 23:59:27,JCSE,2026-03-30,Trend,96.9,1.13,1.06,1.4219
2026-03-31 00:01:09,ARTL,2026-03-30,Trend,93.2,7.9,7.145,8.5893
2026-03-31 00:03:41,UGRO,2026-03-25,Trend,84.3,8.93,7.56,13.9554
2026-03-31 00:04:59,AHMA,2026-03-23,Trend,94.4,8.2,5.88,1.9962
2026-03-31 00:05:17,UGRO,2026-03-23,Trend,95.6,4.28,3.38,3.7101
2026-03-31 00:05:37,BIAF,2026-03-23,Trend,98.8,3.25,2.805,4.8955
